"","zipcode","year","state","county","city","appreciation","price","rent","revenue"
"1","21223","2022","MD","Baltimore City","Baltimore",10,57882.88,13449.6,0.332358859821764
"2","63136","2022","MO","Saint Louis County","Jennings",13.1,59816.5542,11961.6,0.330971398553078
"3","48224","2022","MI","Wayne County","Detroit",10,58073.4,11520,0.298369649443635
"4","64130","2022","MO","Jackson County","Kansas City",13.7,72579.7128,10812,0.285967246946725
"5","48235","2022","MI","Wayne County","Detroit",10.6,69591.732,11236.8,0.267467457082402
"6","40211","2022","KY","Jefferson County","Louisville",11.5,69471.19,10574.4,0.267212737395171
"7","19132","2022","PA","Philadelphia County","Philadelphia",9.1,72342.5735,12336,0.261521995599175
"8","45405","2022","OH","Montgomery County","Dayton",9,61590.668,9813.6,0.249335826654778
"9","38112","2022","TN","Shelby County","Memphis",11.1,112645.12325,15273,0.246585097333541
"10","21217","2022","MD","Baltimore City","Baltimore",12.6,138386.0756,16377.6,0.244347167003556
"11","32209","2022","FL","Duval County","Jacksonville",12,89819.744,10617.6,0.238210089754876
"12","38127","2022","TN","Shelby County","Memphis",10.4,78391.728,9945.6,0.230870528992549
"13","48089","2022","MI","Macomb County","Warren",10.1,99158.9226,12595.2,0.228020339367826
"14","46218","2022","IN","Marion County","Indianapolis",10,76773.18,9758.4,0.227106888108582
"15","78724","2022","TX","Travis County","Austin",17.9,368241.0786,17282.4,0.225932297900346
"16","78640","2022","TX","Hays County","Kyle",16.8,317747.392,16975.2,0.221423569877798
"17","34691","2022","FL","Pasco County","Holiday",11.8,169058.1464,16526.4,0.215755715130685
"18","78641","2022","TX","Williamson County","Leander",16.8,443039.92,20858.4,0.215080181849076
"19","33417","2022","FL","Palm Beach County","Century Village",9.1,134707.2974,16677.6,0.214806210367932
"20","78664","2022","TX","Williamson County","Round Rock",16.2,367597.0732,18636,0.21269681278409
"21","48240","2022","MI","Wayne County","Redford",10.1,126364.4124,14080.8,0.212430107041751
"22","78634","2022","TX","Williamson County","Hutto",16,346384.584,18036,0.212069291859709
"23","63111","2022","MO","Saint Louis City","Saint Louis",11,104217.456,10296,0.208793430536243
"24","18102","2022","PA","Lehigh County","Allentown",10,140614.76,15199.2,0.208091070951584
"25","34690","2022","FL","Pasco County","Holiday",11.7,163741.9236,14887.2,0.207918682721521
"26","78660","2022","TX","Travis County","Pflugerville",16.6,406787.3172,16977.6,0.207735814471455
"27","46222","2022","IN","Marion County","Indianapolis",9.3,86662.877,9724.8,0.205214137548191
"28","08753","2022","NJ","Ocean County","Toms River",14,377878.65,24588,0.205068508104387
"29","33916","2022","FL","Lee County","Fort Myers",11.1,172911.8182,16262.4,0.20505025156343
"30","63031","2022","MO","Saint Louis County","Florissant",10.6,149291.198,14764.8,0.204899333636535
"31","19134","2022","PA","Philadelphia County","Philadelphia",7.5,111676.375,14241.6,0.202525629301632
"32","78681","2022","TX","Williamson County","Round Rock",16.1,498133.7838,19999.2,0.20114825063146
"33","78665","2022","TX","Williamson County","Round Rock",16.1,437377.725,17337.6,0.200639878779835
"34","78744","2022","TX","Travis County","Austin",16,375661.36,15100.8,0.200197905901208
"35","34293","2022","FL","Sarasota County","Venice",12.3,327876.695,25185.6,0.19981424262252
"36","63033","2022","MO","Saint Louis County","Florissant",10.1,171522.1476,16826.4,0.199100450789831
"37","85143","2022","AZ","Pinal County","San Tan Valley",13.6,345323.173333333,21776,0.199059770329922
"38","78613","2022","TX","Williamson County","Cedar Park",16.2,487698.8368,17467.2,0.197815545746653
"39","38111","2022","TN","Shelby County","Memphis",8.1,112188.5582,13070.4,0.197503859303542
"40","06705","2022","CT","New Haven County","Waterbury",11.1,173125.3524,14887.2,0.19699087189497
"41","38128","2022","TN","Shelby County","Memphis",9.1,120769.9906,12796.8,0.19696009767347
"42","33909","2022","FL","Lee County","Cape Coral",12,251175.456,19252.8,0.196650801422254
"43","33445","2022","FL","Palm Beach County","Delray Beach",9.5,247968.663,25116,0.196286992058347
"44","85138","2022","AZ","Pinal County","Maricopa",13.8,325462.0824,18962.4,0.196263008274785
"45","33584","2022","FL","Hillsborough County","Seffner",12.1,282661.9436,21124.8,0.195735211011972
"46","75126","2022","TX","Kaufman County","Forney",12.3,305507.2088,22180.8,0.195603196785843
"47","33579","2022","FL","Hillsborough County","Riverview",12.6,325726.3524,22560,0.195260592008521
"48","30016","2022","GA","Newton County","Covington",10.3,209226.5258,19291.2,0.19520245820284
"49","85139","2022","AZ","Pinal County","Maricopa",13.7,306280.79625,17778,0.195044775309676
"50","85122","2022","AZ","Pinal County","Casa Grande",13.1,267187.2138,17068.8,0.194883296499273
"51","83605","2022","ID","Canyon County","Caldwell",15.6,348909.2376,13459.2,0.194575074975315
"52","32905","2022","FL","Brevard County","Palm Bay",10.3,192843.8874,17575.2,0.194136930690187
"53","33569","2022","FL","Hillsborough County","Riverview",12.3,329520.9916,23414.4,0.194055867750065
"54","34653","2022","FL","Pasco County","New Port Richey",11.8,189021.750666667,14368,0.194012416292438
"55","33763","2022","FL","Pinellas County","Clearwater",9.1,183510.3458,18837.6,0.193651433181486
"56","78753","2022","TX","Travis County","Austin",15.6,418251.8976,15556.8,0.193194810326666
"57","30168","2022","GA","Cobb County","Austell",10.7,232223.139,20016,0.193192961158793
"58","33069","2022","FL","Broward County","Pompano Beach",8.7,203834.8922,21576,0.192850376091793
"59","33578","2022","FL","Hillsborough County","Riverview",12.1,283784.513,20342.4,0.192682558660275
"60","85326","2022","AZ","Maricopa County","Buckeye",12.7,322610.9628,20952,0.19194509615592
"61","85335","2022","AZ","Maricopa County","El Mirage",12.4,301043.3928,20440.8,0.191899845965329
"62","33974","2022","FL","Lee County","Lehigh Acres",11.9,230517.1332,16752,0.191671387881029
"63","21224","2022","MD","Baltimore City","Baltimore",8.9,221592.7692,22651.2,0.19121994193121
"64","48030","2022","MI","Oakland County","Hazel Park",9,143242.132,14474.4,0.191048482020639
"65","33605","2022","FL","Hillsborough County","Tampa",11.6,213269.1624,15996,0.191003811240176
"66","83651","2022","ID","Canyon County","Nampa",15.5,360780.189,12856.8,0.190636103067732
"67","33596","2022","FL","Hillsborough County","Valrico",12.4,382851.4848,25267.2,0.189997393253416
"68","85323","2022","AZ","Maricopa County","Avondale",12.5,330939.45,21508.8,0.189993158113969
"69","92637","2022","CA","Orange County","Laguna Woods",12.9,413236.8058,24976.8,0.189441857185607
"70","99207","2022","WA","Spokane County","Spokane",12.3,255144.477,16864,0.189095884960112
"71","30291","2022","GA","Fulton County","Union City",8.5,187348.252,19464,0.188892082217025
"72","78717","2022","TX","Travis County","Austin",15.9,597258.6616,17846.4,0.188880521032866
"73","33991","2022","FL","Lee County","Cape Coral",12.2,321034.9428,21345.6,0.188489958425797
"74","78666","2022","TX","Hays County","San Marcos",14.3,314873.8686,14251.2,0.188260027652863
"75","78227","2022","TX","Bexar County","San Antonio",9,157025.618,15420,0.188200536934043
"76","33322","2022","FL","Broward County","Sunrise",8.7,225030.74,22768.8,0.188180843115034
"77","85043","2022","AZ","Maricopa County","Phoenix",11.9,304134.129,20992.8,0.188024808458771
"78","30058","2022","GA","Dekalb County","Lithonia",9.7,202585.6228,18415.2,0.187900823787383
"79","78628","2022","TX","Williamson County","Georgetown",15.2,495456.5376,17755.2,0.187836039395113
"80","32254","2022","FL","Duval County","Jacksonville",8.8,114807.2832,11443.2,0.187673118995991
"81","34237","2022","FL","Sarasota County","Sarasota",12,256020.52,17304,0.187588332372733
"82","33904","2022","FL","Lee County","Cape Coral",12.3,319599.9604,20640,0.187580733909252
"83","75241","2022","TX","Dallas County","Dallas",8.4,183772.2544,19027.2,0.187536848160905
"84","34232","2022","FL","Sarasota County","Sarasota",11.7,308990.3484,21612,0.186943932268145
"85","29405","2022","SC","Charleston County","North Charleston",11.1,207729.6694,15732,0.186733043071988
"86","33401","2022","FL","Palm Beach County","West Palm Beach",9.2,294523.32,27768,0.186281159128588
"87","78748","2022","TX","Travis County","Austin",15.1,465035.9978,16375.2,0.186212757888568
"88","06901","2022","CT","Fairfield County","Stamford",7.9,282574.3466,30278.4,0.186151977397512
"89","34292","2022","FL","Sarasota County","Venice",12,380827.776,25123.2,0.18596997798816
"90","92262","2022","CA","Riverside County","Palm Springs",13.3,588958.8925,31116,0.185832210186893
"91","83646","2022","ID","Ada County","Meridian",14.1,526265.9402,23539.2,0.18572871641865
"92","77073","2022","TX","Harris County","Houston",9.5,208196.292,18876,0.18566443892286
"93","34231","2022","FL","Sarasota County","Sarasota",12.2,329205.459,20952,0.185644145099064
"94","30046","2022","GA","Gwinnett County","Lawrenceville",11.2,269098.6624,19804.8,0.185596798376356
"95","85730","2022","AZ","Pima County","Tucson",11.3,246048.684,17832,0.185473462203114
"96","32092","2022","FL","Saint Johns County","Saint Augustine",12.2,390761.6328,24775.2,0.185402335133246
"97","95377","2022","CA","San Joaquin County","Tracy",14,718614.504,32584.8,0.185343921975725
"98","76134","2022","TX","Tarrant County","Fort Worth",9.6,222299.9264,19840.8,0.185252391223464
"99","30034","2022","GA","Dekalb County","Panthersville",9.8,213102.9144,18525.6,0.184932644971842
"100","30253","2022","GA","Henry County","McDonough",10.1,256065.2952,21458.4,0.184800500896617
"101","27610","2022","NC","Wake County","Raleigh",11.2,263865.1456,19178.4,0.184682581689182
"102","30083","2022","GA","Dekalb County","Stone Mountain",10.3,206032.2378,16802.4,0.184552286085979
"103","75189","2022","TX","Rockwall County","Royse City",11.1,307367.7046,22468.8,0.184100718337472
"104","89031","2022","NV","Clark County","North Las Vegas",11.9,340594.2822,22051.2,0.183743306486429
"105","85338","2022","AZ","Maricopa County","Goodyear",12.6,380893.5964,21960,0.183653896541066
"106","30012","2022","GA","Rockdale County","Conyers",9.3,201525.5912,18264,0.183628688352906
"107","30238","2022","GA","Clayton County","Jonesboro",8.4,173421.572,17275.2,0.183613905010618
"108","30045","2022","GA","Gwinnett County","Lawrenceville",11.2,315403.6768,22552.8,0.183504556411056
"109","78749","2022","TX","Travis County","Austin",15.3,601039.7602,18333.6,0.183503140081614
"110","33625","2022","FL","Hillsborough County","Citrus Park",12,340449.312,21595.2,0.18343146905816
"111","83634","2022","ID","Ada County","Kuna",13.7,449910.521,20880,0.18340922811405
"112","28214","2022","NC","Mecklenburg County","Charlotte",11,264443.514,19401.6,0.183367653101146
"113","85379","2022","AZ","Maricopa County","Surprise",12.5,375057.9,21885.6,0.183352590360048
"114","34608","2022","FL","Hernando County","Spring Hill",10.5,227813.872,17832,0.183274425711881
"115","77088","2022","TX","Harris County","Houston",9.6,189559.3376,16536,0.183233898415986
"116","78758","2022","TX","Travis County","Austin",14.6,481465.542,17877.6,0.183131629245442
"117","85388","2022","AZ","Maricopa County","Surprise",12.5,387816.975,22526.4,0.183085131523704
"118","30281","2022","GA","Henry County","Stockbridge",10.2,233657.5008,18940.8,0.183062238255353
"119","33511","2022","FL","Hillsborough County","Brandon",12.2,302658.1536,18441.6,0.182932110305453
"120","30228","2022","GA","Henry County","Hampton",9.5,234382.341,20606.4,0.182917886271133
"121","78252","2022","TX","Bexar County","San Antonio",9.8,217989.8928,18506.4,0.182895679163341
"122","95391","2022","CA","San Joaquin County","Tracy",14.7,907999.8394,32580,0.182881063615087
"123","30294","2022","GA","Dekalb County","Ellenwood",9.8,226796.5116,19240.8,0.1828372837142
"124","48135","2022","MI","Wayne County","Garden City",9.2,170303.679,15450,0.182720295009012
"125","75146","2022","TX","Dallas County","Lancaster",9.5,243568.953,21360,0.182695905972056
"126","30039","2022","GA","Gwinnett County","Snellville",10.7,277299.5148,20983.2,0.182669804237249
"127","30904","2022","GA","Richmond County","Augusta",9.7,136738.856,11712,0.182652318167705
"128","38141","2022","TN","Shelby County","Memphis",8.8,167385.3184,15828,0.182560264611595
"129","34639","2022","FL","Pasco County","Land O Lakes",11.6,340549.4088,22603.2,0.182372747730343
"130","85746","2022","AZ","Pima County","Tucson",11.5,239166.162,16080,0.182233591347258
"131","60085","2022","IL","Lake County","Waukegan",8.4,165954.98,16300.8,0.182224229245787
"132","33635","2022","FL","Hillsborough County","Town 'n' Country",12.3,371179.575,21964.8,0.182175669889702
"133","30106","2022","GA","Cobb County","Austell",9.9,246628.055333333,20508,0.182153556769047
"134","85037","2022","AZ","Maricopa County","Phoenix",11.9,293676.8502,18544.8,0.182146958935887
"135","60628","2022","IL","Cook County","Chicago",7.8,146878.3624,15295.2,0.182135147955598
"136","77083","2022","TX","Harris County","Houston",9.7,228087.3624,19387.2,0.181999010010911
"137","33615","2022","FL","Hillsborough County","Town 'n' Country",11.7,290913.0438,18890.4,0.18193486766096
"138","32811","2022","FL","Orange County","Orlando",9.5,182457.66,15847.2,0.18185412275922
"139","53212","2022","WI","Milwaukee County","Milwaukee",11.2,175258.984,12242.4,0.181853195086421
"140","76227","2022","TX","Denton County","Aubrey",10.9,326331.013,23772,0.181846278940702
"141","28110","2022","NC","Union County","Monroe",11.3,297492.8796,20419.2,0.181637609167167
"142","78729","2022","TX","Travis County","Austin",15.1,498702.978,15230.4,0.181540022161247
"143","75087","2022","TX","Rockwall County","Rockwall",11.7,383641.2456,24744,0.181497757432993
"144","21229","2022","MD","Baltimore City","Baltimore",7.9,153486.4552,15732,0.181497643713906
"145","32909","2022","FL","Brevard County","Palm Bay",10.6,247161.138,18636,0.181400203085325
"146","60073","2022","IL","Lake County","Round Lake Beach",8.6,197392.0116,18806.4,0.181274372288731
"147","46226","2022","IN","Marion County","Indianapolis",8.8,122888.0768,11448,0.181157939306281
"148","85339","2022","AZ","Maricopa County","Phoenix",11.9,368587.6338,22855.2,0.181007506232294
"149","85629","2022","AZ","Pima County","Sahuarita",11.1,291704.99325,20415,0.180985089293633
"150","34609","2022","FL","Hernando County","Spring Hill",10.4,255086.0448,19624.8,0.180934040101593
"151","33607","2022","FL","Hillsborough County","Tampa",11.3,298794.1992,20256,0.180792480758442
"152","85742","2022","AZ","Pima County","Tucson",11.2,312688.84,21465.6,0.18064843657356
"153","46235","2022","IN","Marion County","Indianapolis",8.6,171113.2008,16192.8,0.180632091061907
"154","30213","2022","GA","Fulton County","Fairburn",9.5,252432.978,21614.4,0.180624311733152
"155","77373","2022","TX","Harris County","Spring",9.7,207634.8944,17356.8,0.18059288572451
"156","33908","2022","FL","Lee County","Fort Myers",11.1,314938.9474,21902.4,0.180544907610877
"157","32927","2022","FL","Brevard County","Cocoa",10.4,251572.2336,19252.8,0.180529908426269
"158","19802","2022","DE","New Castle County","Wilmington",9.6,157783.082666667,13336,0.180521101848249
"159","34212","2022","FL","Manatee County","Bradenton",11.4,443827.8488,29469.6,0.180398717610169
"160","79924","2022","TX","El Paso County","El Paso",8.8,141005.072,13020,0.180337104015663
"161","85396","2022","AZ","Maricopa County","Buckeye",12,409728.48,24717.6,0.180326780310707
"162","30349","2022","GA","Clayton County","Riverdale",9,203263.2,18338.4,0.180219970953916
"163","30680","2022","GA","Barrow County","Winder",10.8,253449.9032,18230.4,0.179929007546766
